longitude,latitude
41,-12
45,-13
46,-16
40,-17
41,-14
36,-19
44,-19
41,-11
38,-18
48,-13
49,-19
41,-15
41,-16
41,-13
46,-12
44,-13
50,-15
40,-13
40,-16
48,-14
47,-15
50,-18
46,-15
47,-10
48,-10
49,-13
44,-16
38,-19
42,-18
48,-12
47,-13
37,-18
45,-12
47,-16
42,-19
37,-19
38,-12
39,-18
44,-11
43,-15
47,-14
46,-10
43,-17
45,-15
40,-11
43,-16
41,-10
43,-18
49,-11
40,-10
46,-14
40,-14
48,-15
50,-10
45,-16
49,-12
43,-13
49,-18
41,-17
38,-17
42,-17
38,-11
40,-19
42,-15
45,-14
42,-16
49,-16
50,-17
42,-12
43,-14
40,-18
50,-16
39,-13
50,-12
44,-17
45,-11
46,-13
42,-11
36,-12
47,-12
44,-15
48,-19
37,-12
47,-11
48,-16
50,-14
48,-11
48,-18
41,-18
37,-13
46,-11
40,-12
42,-10
40,-15
49,-10
42,-14
44,-18
